Month,Inflation_Rate,GDP_Growth,Unemployment_Rate,Fed_Funds_Rate,Money_Supply,Consumer_Confidence,S&P_500,Crude_Oil,Gold,US_Dollar_Index,INR_USD,VIX
2016-06-30,1.0,1.28,4.9,0.38,12841.1,93.5,2098.86,48.33,1318.4,96.14,67.42,15.63
2016-07-31,0.83,2.84,4.8,0.39,12902.2,90.0,2173.6,41.6,1349.0,95.53,67.01,11.87
2016-08-31,1.06,2.84,4.9,0.4,12988.9,89.8,2170.95,44.7,1306.9,96.02,67.13,13.42
2016-09-30,1.46,2.84,5.0,0.4,13047.9,91.2,2168.27,48.24,1313.3,95.46,66.82,13.29
2016-10-31,1.64,2.22,4.9,0.4,13112.8,87.2,2126.15,46.86,1271.5,98.45,66.78,17.06
2016-11-30,1.69,2.22,4.7,0.41,13182.4,93.8,2198.81,49.44,1170.8,101.5,68.61,13.33
2016-12-31,2.07,2.22,4.7,0.54,13215.3,98.2,2238.83,53.72,1150.0,102.39,67.93,14.04
2017-01-31,2.5,1.95,4.7,0.65,13286.4,98.5,2278.87,52.81,1208.6,99.51,67.82,11.99
2017-02-28,2.74,1.95,4.6,0.66,13351.2,96.3,2363.64,54.01,1252.6,101.12,66.69,12.92
2017-03-31,2.38,1.95,4.4,0.79,13420.1,96.9,2362.72,50.6,1247.3,100.35,64.79,12.37
2017-04-30,2.2,2.24,4.4,0.9,13481.0,97.0,2384.2,49.33,1266.1,99.05,64.06,10.82
2017-05-31,1.87,2.24,4.4,0.91,13539.7,97.1,2411.8,48.32,1272.0,96.92,64.62,10.41
2017-06-30,1.63,2.24,4.3,1.04,13564.1,95.0,2423.41,46.04,1240.7,95.66,64.79,11.18
2017-07-31,1.73,3.15,4.3,1.15,13628.9,93.4,2470.3,50.17,1266.6,92.86,64.12,10.26
2017-08-31,1.94,3.15,4.4,1.16,13688.0,96.8,2471.65,47.23,1316.2,92.67,63.98,10.59
2017-09-30,2.23,3.15,4.3,1.15,13733.8,95.1,2519.36,51.67,1281.5,93.08,65.36,9.51
2017-10-31,2.04,4.51,4.2,1.15,13788.5,100.7,2575.26,54.38,1267.0,94.55,64.84,10.18
2017-11-30,2.2,4.51,4.2,1.16,13814.7,98.5,2647.58,57.4,1273.2,93.01,64.41,11.28
2017-12-31,2.11,4.51,4.1,1.3,13860.3,95.9,2673.61,60.42,1306.3,92.12,64.06,11.04
2018-01-31,2.07,3.25,4.0,1.41,13869.2,95.7,2823.81,64.73,1339.0,89.13,63.77,13.54
2018-02-28,2.21,3.25,4.1,1.42,13907.3,99.7,2713.83,61.64,1315.5,90.61,64.91,19.85
2018-03-31,2.36,3.25,4.0,1.51,13966.4,101.4,2640.87,64.94,1322.8,90.15,65.03,19.97
2018-04-30,2.46,2.12,4.0,1.69,13989.3,98.8,2648.05,68.57,1316.2,91.84,66.61,15.93
2018-05-31,2.8,2.12,3.8,1.7,14055.7,98.0,2705.27,67.04,1300.1,93.99,67.43,15.43
2018-06-30,2.87,2.12,4.0,1.82,14117.5,98.2,2718.37,74.15,1251.3,94.63,68.8,16.09
2018-07-31,2.95,2.49,3.8,1.91,14157.0,97.9,2816.29,68.76,1223.7,94.49,68.68,12.83
2018-08-31,2.7,2.49,3.8,1.91,14206.0,96.2,2901.52,69.8,1200.3,95.14,71.4,12.86
2018-09-30,2.28,2.49,3.7,1.95,14238.2,100.1,2913.98,73.25,1191.5,95.19,72.95,12.12
2018-10-31,2.52,0.57,3.8,2.19,14248.1,98.6,2711.74,65.31,1212.3,97.13,73.65,21.23
2018-11-30,2.18,0.57,3.8,2.2,14258.7,97.5,2760.17,50.93,1220.2,97.27,69.92,18.07
2018-12-31,1.91,0.57,3.9,2.27,14369.9,98.3,2506.85,45.41,1278.3,96.17,69.92,25.42
2019-01-31,1.55,2.5,4.0,2.4,14432.7,91.2,2704.1,53.79,1319.7,95.58,71.12,16.57
2019-02-28,1.52,2.5,3.8,2.4,14470.5,93.8,2784.49,57.22,1312.8,96.16,71.19,14.78
2019-03-31,1.86,2.5,3.8,2.41,14513.9,98.4,2834.4,60.14,1293.0,97.28,69.5,13.71
2019-04-30,2.0,3.34,3.7,2.42,14548.1,97.2,2945.83,63.91,1282.8,97.48,69.81,13.12
2019-05-31,1.79,3.34,3.6,2.39,14660.8,100.0,2752.06,53.5,1305.8,97.75,69.98,18.71
2019-06-30,1.65,3.34,3.6,2.38,14782.9,98.2,2941.76,58.47,1409.7,96.13,69.32,15.08
2019-07-31,1.81,4.68,3.7,2.4,14865.4,98.4,2980.38,58.58,1426.1,98.52,69.08,16.12
2019-08-31,1.75,4.68,3.6,2.13,14947.6,89.8,2926.46,55.1,1519.1,98.92,71.68,18.98
2019-09-30,1.71,4.68,3.5,2.04,15039.5,93.2,2976.74,54.07,1465.7,99.38,70.5,16.24
2019-10-31,1.76,2.73,3.6,1.83,15174.6,95.5,3037.56,54.18,1511.4,97.35,70.99,13.22
2019-11-30,2.05,2.73,3.6,1.55,15273.3,96.8,3140.98,55.17,1465.6,98.27,71.55,12.62
2019-12-31,2.29,2.73,3.6,1.55,15334.3,99.3,3230.78,61.06,1519.5,96.39,71.31,13.78
2020-01-31,2.49,-5.57,3.6,1.55,15401.3,99.8,3225.52,51.56,1582.9,97.39,71.64,18.84
2020-02-29,2.33,-5.57,3.5,1.58,15453.8,101.0,2954.22,44.76,1564.1,98.13,71.93,40.11
2020-03-31,1.54,-5.57,4.4,0.65,15980.6,89.1,2584.59,20.48,1583.4,99.05,75.4,53.54
2020-04-30,0.33,-31.64,14.8,0.05,16999.0,71.8,2912.43,18.84,1684.2,99.02,75.26,34.15
2020-05-31,0.12,-31.64,13.2,0.05,17868.4,72.3,3044.31,35.49,1736.9,98.34,75.96,27.51
2020-06-30,0.65,-31.64,11.0,0.08,18161.5,78.1,3100.29,39.27,1793.0,97.39,75.7,30.43
2020-07-31,0.99,31.32,10.2,0.09,18311.4,72.5,3271.12,40.27,1962.8,93.49,74.99,24.46
2020-08-31,1.31,31.32,8.4,0.1,18382.2,74.1,3500.31,42.61,1967.6,92.14,73.13,26.41
2020-09-30,1.37,31.32,7.8,0.09,18606.8,80.4,3363.0,40.22,1887.5,93.89,73.85,26.37
2020-10-31,1.18,4.34,6.9,0.09,18758.1,81.8,3269.96,35.79,1877.4,94.04,74.26,38.02
2020-11-30,1.17,4.34,6.7,0.09,18972.9,76.9,3621.63,45.34,1775.7,91.87,73.94,20.57
2020-12-31,1.36,4.34,6.7,0.09,19109.9,80.7,3756.07,48.52,1893.1,89.94,73.13,22.75
2021-01-31,1.4,5.52,6.4,0.09,19334.6,79.0,3714.24,52.2,1847.3,90.58,72.94,33.09
2021-02-28,1.68,5.52,6.2,0.08,19570.8,76.8,3811.15,61.5,1728.1,90.93,73.15,27.95
2021-03-31,2.62,5.52,6.1,0.07,19809.6,84.9,3972.89,59.16,1713.8,93.23,73.45,19.4
2021-04-30,4.16,6.28,6.1,0.07,20132.9,88.3,4181.17,63.58,1767.3,91.28,74.11,18.61
2021-05-31,4.99,6.28,5.8,0.06,20437.5,82.9,4204.11,66.32,1902.5,90.03,72.39,16.76
2021-06-30,5.39,6.28,5.9,0.08,20481.6,85.5,4297.5,73.47,1770.8,92.44,74.29,15.83
2021-07-31,5.37,3.41,5.4,0.1,20633.3,81.2,4395.26,73.95,1812.6,92.17,74.25,18.24
2021-08-31,5.25,3.41,5.1,0.09,20844.2,70.3,4522.68,68.5,1815.0,92.63,73.41,16.48
2021-09-30,5.39,3.41,4.7,0.08,20973.7,72.8,4307.54,75.03,1755.3,94.25,74.32,23.14
2021-10-31,6.22,7.21,4.5,0.08,21153.5,71.7,4605.38,83.57,1783.0,94.12,74.8,16.26
2021-11-30,6.81,7.21,4.2,0.08,21327.3,67.4,4567.0,66.18,1773.6,95.99,75.05,27.19
2021-12-31,7.04,7.21,3.9,0.08,21507.6,70.6,4766.18,75.21,1827.5,95.67,74.43,17.22
2022-01-31,7.48,-1.03,4.0,0.08,21566.2,67.2,4515.55,88.15,1795.0,96.54,75.04,24.83
2022-02-28,7.87,-1.03,3.8,0.08,21620.9,62.8,4373.94,95.72,1899.4,96.71,75.07,30.15
2022-03-31,8.54,-1.03,3.7,0.2,21722.8,59.4,4530.41,100.28,1949.2,98.31,75.83,20.56
2022-04-30,8.26,0.28,3.7,0.33,21723.2,65.2,4131.93,104.69,1909.3,102.96,76.59,33.4
2022-05-31,8.58,0.28,3.6,0.77,21696.6,58.4,4132.15,114.67,1842.7,101.75,77.52,26.19
2022-06-30,9.06,0.28,3.6,1.21,21652.3,50.0,3785.38,105.76,1804.1,104.69,78.9,28.71
2022-07-31,8.52,2.69,3.5,1.68,21644.5,51.5,4130.29,98.62,1762.9,105.9,79.57,21.33
2022-08-31,8.26,2.69,3.6,2.33,21626.6,58.2,3955.0,89.55,1712.8,108.7,79.68,25.87
2022-09-30,8.2,2.69,3.5,2.56,21507.8,58.6,3585.62,79.49,1662.4,112.12,81.48,31.62
2022-10-31,7.75,3.31,3.6,3.08,21433.2,59.9,3871.98,86.53,1635.9,111.53,82.24,25.88
2022-11-30,7.11,3.31,3.6,3.78,21366.9,56.7,4080.11,80.55,1746.0,105.95,81.63,20.58
2022-12-31,6.45,3.31,3.5,4.1,21273.0,59.8,3839.5,80.26,1819.7,103.52,82.84,21.67
2023-01-31,6.41,2.77,3.5,4.33,21187.9,64.9,4076.6,78.87,1929.5,102.1,81.58,19.4
2023-02-28,6.04,2.77,3.6,4.57,21117.1,66.9,3970.15,77.05,1828.9,104.87,82.65,20.7
2023-03-31,4.98,2.77,3.5,4.65,20870.0,62.0,4109.31,75.67,1969.0,102.51,82.1,18.7
2023-04-30,4.93,2.43,3.4,4.83,20712.0,63.7,4169.48,76.78,1990.1,101.67,81.77,15.78
2023-05-31,4.05,2.43,3.6,5.06,20804.6,59.0,4179.83,68.09,1963.9,104.32,82.68,17.94
2023-06-30,2.97,2.43,3.6,5.08,20788.4,64.2,4450.38,70.64,1921.1,102.91,82.08,13.59
2023-07-31,3.18,4.29,3.5,5.12,20762.6,71.5,4588.96,81.8,1970.5,101.86,82.25,13.63
2023-08-31,3.67,4.29,3.7,5.33,20735.0,69.4,4507.66,83.63,1938.2,103.62,82.7,13.57
2023-09-30,3.7,4.29,3.8,5.33,20681.4,67.8,4288.05,90.79,1848.1,106.17,83.19,17.52
2023-10-31,3.24,3.15,3.9,5.33,20662.5,63.8,4193.8,81.02,1985.2,106.66,83.3,18.14
2023-11-30,3.14,3.15,3.7,5.33,20675.7,61.3,4567.8,75.96,2038.1,103.5,83.33,12.92
2023-12-31,3.35,3.15,3.8,5.33,20725.4,69.7,4769.83,71.65,2062.4,101.33,82.3,12.45
2024-01-31,3.09,1.62,3.7,5.33,20726.1,79.0,4845.65,75.85,2048.4,103.27,83.11,14.35
2024-02-29,3.15,1.62,3.9,5.33,20762.0,76.9,5096.27,78.26,2045.7,104.16,82.91,13.4
2024-03-31,3.48,1.62,3.9,5.33,20863.0,79.4,5254.35,83.17,2217.4,104.55,83.39,13.01
2024-04-30,3.36,2.96,3.9,5.33,20881.3,77.2,5035.69,81.93,2291.4,106.22,83.45,15.65
2024-05-31,3.27,2.96,4.0,5.33,20959.5,69.1,5277.51,76.99,2322.9,104.67,83.32,12.92
2024-06-30,2.97,2.96,4.1,5.33,21020.1,68.2,5460.48,81.54,2327.7,105.87,83.45,12.44
2024-07-31,2.89,3.04,4.2,5.33,21039.4,66.4,5522.3,77.91,2426.5,104.1,83.74,16.36
2024-08-31,2.53,3.04,4.2,5.33,21141.3,67.9,5648.4,73.55,2493.8,101.7,83.9,15.0
2024-09-30,2.44,3.04,4.1,5.13,21222.8,70.1,5762.48,68.17,2636.1,100.78,83.72,16.73
2024-10-31,2.6,2.23,4.1,4.83,21312.5,70.5,5705.45,69.26,2738.3,103.98,84.09,23.16
2024-11-30,2.75,2.23,4.2,4.64,21448.3,71.8,6032.38,68.0,2657.0,105.74,84.47,13.51
2024-12-31,2.89,2.23,4.1,4.48,21533.8,74.0,5906.94,70.99,2606.1,108.13,85.39,17.4
