Date,US_10Y_Yield_Actual,AAA_Bond_Yield_Actual,BAA_Bond_Yield_Actual,Junk_Bond_Yield_Actual,AAA_Bond_Yield,BAA_Bond_Yield,US_10Y_Yield,Junk_Bond_Yield
2020-07-01,0.69,2.14,3.31,6.33,3.493311,4.554592,3.0147521,5.1012945
2020-08-01,0.55,2.25,3.27,5.16,3.4932652,4.5519958,3.0222826,5.091992
2020-09-01,0.68,2.31,3.36,4.97,3.504703,4.5583467,3.0252519,5.1049757
2020-10-01,0.68,2.35,3.44,5.36,3.4920483,4.543153,3.0199797,5.1139727
2020-11-01,0.88,2.3,3.3,5.32,3.4939966,4.5570736,3.02068,5.096516
2020-12-01,0.92,2.26,3.16,4.21,3.499477,4.5679107,3.027466,5.084902
2021-01-01,0.93,2.45,3.24,3.86,3.5032883,4.5629606,3.018647,5.0903883
2021-02-01,1.09,2.7,3.42,3.83,3.4936428,4.5603404,3.0325575,5.0975785
2021-03-01,1.45,3.04,3.74,3.54,3.4960585,4.5598335,3.0200238,5.0911613
2021-04-01,1.69,2.9,3.6,3.33,3.4995308,4.5679817,3.027877,5.102303
2021-05-01,1.65,2.96,3.62,3.28,3.493906,4.5594754,3.0154312,5.08634
2021-06-01,1.62,2.79,3.44,3.33,3.4973888,4.5542884,3.0242853,5.086957
2021-07-01,1.48,2.57,3.24,3.02,3.5001411,4.555332,3.0122263,5.0945883
2021-08-01,1.24,2.55,3.24,3.32,3.5054054,4.5631504,2.9942117,5.106452
2021-09-01,1.31,2.53,3.23,3.19,3.5001144,4.5543175,3.0314543,5.095952
2021-10-01,1.48,2.68,3.35,3.2,3.4991164,4.5547814,3.0107715,5.1105685
2021-11-01,1.58,2.62,3.28,3.16,3.4961658,4.5520144,3.0181856,5.1135545
2021-12-01,1.43,2.65,3.3,3.58,3.5028834,4.5601997,3.028902,5.1170077
2022-01-01,1.52,2.93,3.58,3.1,3.5013547,4.556679,3.0335646,5.100763
2022-02-01,1.81,3.25,3.97,3.51,3.4997258,4.547155,3.024562,5.0958457
2022-03-01,1.72,3.43,4.29,3.89,3.497407,4.552938,3.026263,5.0975285
2022-04-01,2.39,3.76,4.66,3.4,3.4958038,4.551831,3.0364366,5.0848002
2022-05-01,2.89,4.13,5.12,3.97,3.4918838,4.5672917,3.0244322,5.0940633
2022-06-01,2.94,4.24,5.27,4.13,3.4972692,4.569941,3.0389369,5.114868
2022-07-01,2.88,4.06,5.21,5.92,3.493659,4.5542226,3.0257196,5.100744
2022-08-01,2.6,4.07,5.15,4.8,3.5020218,4.553381,3.024566,5.113561
2022-09-01,3.26,4.59,5.69,5.08,3.4956965,4.5430827,3.022717,5.0782313
2022-10-01,3.83,5.1,6.26,5.43,3.4993505,4.5593624,3.0193622,5.101263
2022-11-01,4.07,4.9,6.07,4.61,3.495099,4.544389,3.0218925,5.1142015
2022-12-01,3.53,4.43,5.59,4.48,3.4987102,4.5501995,3.0222058,5.102669
2023-01-01,3.88,4.4,5.5,4.81,3.4948378,4.562625,3.017348,5.1068273
2023-02-01,3.39,4.56,5.59,4.31,3.4999146,4.559252,3.0249896,5.0903506
2023-03-01,4.01,4.6,5.71,4.17,3.4934115,4.5588436,3.011474,5.086991
2023-04-01,3.48,4.47,5.53,4.58,3.4931974,4.5612135,3.0189326,5.093415
2023-05-01,3.59,4.67,5.77,4.45,3.4944577,4.5601754,3.0212328,5.0873814
2023-06-01,3.61,4.65,5.75,4.65,3.499434,4.56609,3.0262413,5.1121616
2023-07-01,3.81,4.66,5.74,4.05,3.5039697,4.5576253,3.0083323,5.0984006
2023-08-01,4.05,4.95,6.02,3.82,3.4967198,4.561216,3.0261734,5.11064
2023-09-01,4.18,5.13,6.16,3.81,3.498036,4.5593796,3.0173845,5.096554
2023-10-01,4.59,5.61,6.63,4.03,3.5012789,4.569839,3.0240924,5.1025534
2023-11-01,4.77,5.28,6.29,4.47,3.499208,4.553521,3.0198574,5.092197
2023-12-01,4.22,4.74,5.64,3.87,3.4953613,4.5512505,3.0224264,5.09074
2024-01-01,3.88,4.87,5.68,3.39,3.4926147,4.544118,3.0272038,5.0937815
2024-02-01,3.87,5.03,5.77,3.56,3.4945102,4.557032,3.020372,5.0984282
2024-03-01,4.19,5.01,5.75,3.32,3.4928446,4.550318,3.0038476,5.102774
2024-04-01,4.33,5.28,6.0,3.12,3.492116,4.5616007,3.0127456,5.099158
2024-05-01,4.63,5.25,5.95,3.21,3.4902663,4.561291,3.0097876,5.0895953
2024-06-01,4.51,5.13,5.82,3.2,3.4962292,4.5621443,3.0182261,5.0976257
2024-07-01,4.48,5.12,5.84,3.21,3.4967756,4.5637617,3.0221863,5.1015697
2024-08-01,3.99,4.87,5.6,3.35,3.4993038,4.5506964,3.0230017,5.1138673
2024-09-01,3.91,4.68,5.42,3.17,3.4961576,4.56151,3.022586,5.101045
2024-10-01,3.74,4.95,5.63,3.07,3.5000854,4.553809,3.04068,5.0997157
2024-11-01,4.37,5.14,5.78,2.83,3.5006905,4.5378366,3.021677,5.0974755
